ticker,cap,country,industry,financial_currency,currency
8421.T,large,Japan,Banks - Regional,JPY,JPY
ACM,large,United States,Engineering & Construction,USD,USD
PR,large,United States,Oil & Gas E&P,USD,USD
PODD,large,United States,Medical Devices,USD,USD
UHR.SW,large,Switzerland,Luxury Goods,CHF,CHF
066570.KS,large,South Korea,Consumer Electronics,KRW,KRW
2801.T,large,Japan,Packaged Foods,JPY,JPY
4755.T,large,Japan,Internet Retail,JPY,JPY
SNN,large,United Kingdom,Medical Devices,USD,USD
600029.SS,large,China,Airlines,CNY,CNY
VFS,large,Vietnam,Auto Manufacturers,VND,USD
LAMR,large,United States,REIT - Specialty,USD,USD
NN.AS,large,Netherlands,Insurance - Diversified,EUR,EUR
LIFCO-B.ST,large,Sweden,Conglomerates,SEK,SEK
KRTX,large,United States,Biotechnology,USD,USD
RGA,large,United States,Insurance - Reinsurance,USD,USD
600600.SS,large,China,Beverages - Brewers,CNY,CNY
NI,large,United States,Utilities - Regulated Gas,USD,USD
JNPR,large,United States,Communication Equipment,USD,USD
600009.SS,large,China,Airports & Air Services,CNY,CNY
9104.T,large,Japan,Marine Shipping,JPY,JPY
PFGC,large,United States,Food Distribution,USD,USD
9503.T,large,Japan,Utilities - Renewable,JPY,JPY
1050.SR,large,Saudi Arabia,Banks - Regional,SAR,SAR
6506.T,large,Japan,Electrical Equipment & Parts,JPY,JPY
REH.AX,large,Australia,Industrial Distribution,AUD,AUD
GL,large,United States,Insurance - Life,USD,USD
UHS,large,United States,Medical Care Facilities,USD,USD
5880.TW,large,Taiwan,Banks - Regional,TWD,TWD
TECH,large,United States,Biotechnology,USD,USD
ACI,large,United States,Grocery Stores,USD,USD
0823.HK,large,Hong Kong,REIT - Retail,HKD,HKD
RNR,large,Bermuda,Insurance - Reinsurance,USD,USD
ZYDUSLIFE.NS,large,India,Drug Manufacturers - Specialty & Generic,INR,INR
CNA,large,United States,Insurance - Property & Casualty,USD,USD
2603.TW,large,Taiwan,Marine Shipping,TWD,TWD
ARCC,large,United States,Asset Management,USD,USD
WISE.L,large,United Kingdom,Information Technology Services,GBP,GBP
KBX.DE,large,Germany,Auto Parts,EUR,EUR
REC.MI,large,Italy,Drug Manufacturers - General,EUR,EUR
